iter	MultiClass
0	1.300931277
1	1.246527493
2	1.209902487
3	1.184179961
4	1.165939814
5	1.152262792
6	1.142411408
7	1.135378321
8	1.130260196
9	1.126501566
10	1.123795722
11	1.121422652
12	1.119415473
13	1.118075801
14	1.116694701
15	1.115544454
16	1.114679617
17	1.113898695
18	1.113460808
19	1.112811421
20	1.11240482
21	1.112003229
22	1.111638776
23	1.111243266
24	1.110801278
25	1.11043922
26	1.110063809
27	1.109796637
28	1.109607245
29	1.109398623
30	1.109109611
31	1.108780853
32	1.108511496
33	1.108206604
34	1.107931124
35	1.107652101
36	1.107355025
37	1.107200226
38	1.106855756
39	1.106677461
40	1.106429273
41	1.106059714
42	1.105806721
43	1.1056284
44	1.105419487
45	1.105149543
46	1.10503789
47	1.104889012
48	1.10472196
49	1.1045638
50	1.104378773
51	1.104182464
52	1.103930192
53	1.103665932
54	1.103443085
55	1.103258408
56	1.103096698
57	1.10288309
58	1.10275975
59	1.102593261
60	1.102393104
61	1.102297064
62	1.102174921
63	1.102011385
64	1.101892497
65	1.10173348
66	1.101563358
67	1.101435354
68	1.101229371
69	1.101111376
70	1.100908144
71	1.100824898
72	1.100681597
73	1.10055818
74	1.100467809
75	1.100293353
76	1.100073579
77	1.099930596
78	1.099775779
79	1.099634639
80	1.099517501
81	1.099427315
82	1.099246474
83	1.099090757
84	1.098876424
85	1.098745848
86	1.098597269
87	1.098501347
88	1.098399606
89	1.098196066
90	1.098070069
91	1.097980464
92	1.09785756
93	1.097733082
94	1.097503824
95	1.097381352
96	1.097309453
97	1.097152425
98	1.09705773
99	1.09695932
100	1.096840612
101	1.096739521
102	1.096704313
103	1.096551029
104	1.096448982
105	1.096295357
106	1.096204203
107	1.096085101
108	1.096046099
109	1.095978187
110	1.09586065
111	1.095798245
112	1.095703697
113	1.095600236
114	1.095472903
115	1.095291117
116	1.095194809
117	1.095103977
118	1.095035121
119	1.094958698
120	1.094855616
121	1.094785579
122	1.094678848
123	1.094550301
124	1.094381597
125	1.094295544
126	1.09421173
127	1.094131986
128	1.094031424
129	1.093972277
130	1.093887553
131	1.093787999
132	1.093711408
133	1.093599161
134	1.093550254
135	1.093479822
136	1.093381564
137	1.093310651
138	1.093279282
139	1.093187845
140	1.093137489
141	1.093058465
142	1.092984567
143	1.092891299
144	1.092837075
145	1.092763367
146	1.092689297
147	1.092645533
148	1.092563928
149	1.092521421
150	1.092461389
151	1.092393504
152	1.092369616
153	1.092320956
154	1.092200972
155	1.092130956
156	1.0920479
157	1.092012886
158	1.091953545
159	1.091876192
160	1.09184412
161	1.091799585
162	1.091732169
163	1.091637133
164	1.091590129
165	1.091530035
166	1.091433106
167	1.091377009
168	1.091325051
169	1.091274756
170	1.091190298
171	1.091130184
172	1.091106182
173	1.091045421
174	1.091016945
175	1.090975783
176	1.09092586
177	1.090911658
178	1.090874816
179	1.090826853
180	1.090791916
181	1.090786021
182	1.090727318
183	1.09063974
184	1.090605751
185	1.090548421
186	1.090449741
187	1.090423583
188	1.09034951
189	1.090338497
190	1.090300287
191	1.090272888
192	1.090233709
193	1.090200665
194	1.090165379
195	1.09009631
196	1.090018181
197	1.089943363
198	1.089901247
199	1.089867396
200	1.08981421
201	1.089709218
202	1.089659889
203	1.089611572
204	1.089588426
205	1.089499977
206	1.08946535
207	1.089448886
208	1.08943568
209	1.089424669
210	1.089377213
211	1.089319551
212	1.089261898
213	1.089249679
214	1.089188534
215	1.089170624
216	1.089142773
217	1.08911959
218	1.089083196
219	1.089069506
220	1.089024338
221	1.08899438
222	1.088965662
223	1.088943819
224	1.088938255
225	1.088887071
226	1.088849683
227	1.088819599
228	1.088798424
229	1.08877033
230	1.088711491
231	1.088614198
232	1.088601003
233	1.088555993
234	1.088540011
235	1.088495886
236	1.088473524
237	1.088452881
238	1.088417876
239	1.088392138
240	1.088372865
241	1.088341854
242	1.088319195
243	1.088313491
244	1.088298993
245	1.088238176
246	1.088157039
247	1.088151844
248	1.088122734
249	1.088114147
250	1.08807529
251	1.088063044
252	1.088042254
253	1.088021081
254	1.088002908
255	1.087970623
256	1.087903632
257	1.087894138
258	1.087827618
259	1.087813078
260	1.087744519
261	1.087716409
262	1.087695484
263	1.08768039
264	1.087643022
265	1.087621061
266	1.087597028
267	1.087578741
268	1.087554637
269	1.087513862
270	1.087484976
271	1.087458118
272	1.087437166
273	1.087410866
274	1.087322568
275	1.087279597
276	1.08722318
277	1.087216689
278	1.087200503
279	1.087190653
280	1.087163008
281	1.087139685
282	1.087117685
283	1.087102111
284	1.087087206
285	1.087025678
286	1.087008987
287	1.086960059
288	1.086915251
289	1.086876996
290	1.08683713
