date,model,dataset,params,mean_objective,std_objective,mean_time,std_time,worst_case,type,version
04 Jun 21,CatBoostClassifier,RFT,"{'n_estimators': 1512, 'learning_rate': 0.015561726174461438, 'l2_leaf_reg': 5.421254944299484, 'depth': 5, 'min_data_in_leaf': 914, 'grow_policy': 'Lossguide'}",-1.7474441875895568,0.0009683271159596,2576.1207308769226,137.3695826645723,-1.7484125147055165,Hyper Parameter,0
04 Jun 21,CatBoostClassifier,RFT,"{'verbose': 0, 'allow_writing_files': False, 'n_estimators': 1000}",-1.750051090172145,0.0007474745532746,297.66206471125287,15.062678337453876,-1.75079856472542,Initial modelling,0
04 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.14858839097513943, 'max_iter': 138, 'max_leaf_nodes': 31, 'max_depth': 8, 'min_samples_leaf': 261, 'l2_regularization': 8.675498344925586, 'max_bins': 200}",-1.7561810791882824,0.0021381213588711,63.80271681149801,2.1069219178154204,-1.7583192005471535,Hyper Parameter,0
04 Jun 21,HistGradientBoostingClassifier,RFT,"{'categorical_features': None, 'early_stopping': 'auto', 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'auto', 'max_bins': 255, 'max_depth': None, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': None, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",-1.7584422049854418,0.0013160110246273,79.77619949976604,11.946359071971347,-1.759758216010069,Initial modelling,0
04 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.002249828539472283, 'max_iter': 862, 'max_leaf_nodes': 128, 'max_depth': 5, 'min_samples_leaf': 501, 'l2_regularization': 5.049858337536902, 'max_bins': 217}",-1.759251567325082,0.0009422028608765,1181.3834188779194,37.89308588316197,-1.760193770185959,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'verbosity': -1, 'force_col_wise': True, 'objective': 'multiclass', 'num_classes': 9}",-1.7613888933117714,0.0002703750768155,59.51650134722392,2.214470121532735,-1.761659268388587,Initial modelling,0
04 Jun 21,CatBoostClassifier,RFI,"{'verbose': 0, 'allow_writing_files': False, 'n_estimators': 1000}",-1.8517414913208032,0.0003220945819212,12.728342294692991,1.2820464708313208,-1.8520635859027244,Initial modelling,0
04 Jun 21,HistGradientBoostingClassifier,RFI,"{'categorical_features': None, 'early_stopping': 'auto', 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'auto', 'max_bins': 255, 'max_depth': None, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': None, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",-1.8542045131850136,0.0003055503622526,6.021986484527588,0.3552657992642764,-1.8545100635472664,Initial modelling,0
04 Jun 21,LGBMClassifier,RFI,"{'verbosity': -1, 'force_col_wise': True, 'objective': 'multiclass', 'num_classes': 9}",-1.860128657927984,0.0001867852516448,19.674652496973675,0.3802943720823051,-1.8603154431796285,Initial modelling,0
04 Jun 21,RandomForestClassifier,RFT,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",-2.016990544091726,0.0033192409756207,108.87394253412884,2.8112851624640967,-2.020309785067348,Initial modelling,0
04 Jun 21,RandomForestClassifier,RFI,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",-14.12980698144348,0.0968239880285942,53.20770152409872,3.1754925978984803,-14.226630969472076,Initial modelling,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 154, 'metric': 'multi_error', 'lambda_l1': 3.074901968918856e-05, 'lambda_l2': 1.919413754790488e-07, 'num_leaves': 243, 'feature_fraction': 0.9901381285300171, 'bagging_fraction': 0.7592161655298558, 'bagging_freq': 1, 'min_data_in_leaf': 192}",-1.8705842187997956,0.0002055485548509,191.1793605486552,29.624942084971725,-1.8707897673546463,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 359, 'metric': 'auc_mu', 'lambda_l1': 1.2829733624114544e-07, 'lambda_l2': 0.00813166303191428, 'num_leaves': 241, 'feature_fraction': 0.879319713134615, 'bagging_fraction': 0.7935981523089864, 'bagging_freq': 2, 'min_data_in_leaf': 317}",-1.870621135145046,0.0003103052306035,205.96073714892069,0.5421647112215313,-1.8709314403756492,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 171, 'metric': 'multi_logloss', 'lambda_l1': 2.1427962775242143e-06, 'lambda_l2': 0.016669633857966517, 'num_leaves': 137, 'feature_fraction': 0.6813140561498735, 'bagging_fraction': 0.9237038237928594, 'bagging_freq': 3, 'min_data_in_leaf': 209}",-1.8711483686958692,9.728187574265972e-05,134.88701947530112,6.013185304195652,-1.871245650571612,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 169, 'metric': 'multi_logloss', 'lambda_l1': 2.08990883005326e-05, 'lambda_l2': 3.007130019821705e-08, 'num_leaves': 70, 'feature_fraction': 0.8719124025994547, 'bagging_fraction': 0.8280008382179749, 'bagging_freq': 7, 'min_data_in_leaf': 525}",-1.8719526319810968,4.289974056368413e-05,105.48867877324422,10.389086347137493,-1.8719955317216608,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 132, 'metric': 'multi_error', 'lambda_l1': 2.514190390079707, 'lambda_l2': 3.3597869019591464e-08, 'num_leaves': 151, 'feature_fraction': 0.48036739822794144, 'bagging_fraction': 0.7317320048402942, 'bagging_freq': 6, 'min_data_in_leaf': 258}",-1.8717049547838909,0.0002922621354426,106.83659029006958,0.0987551414425892,-1.8719972169193333,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 202, 'metric': 'multi_error', 'lambda_l1': 3.290880874043016e-07, 'lambda_l2': 7.241575966019474e-06, 'num_leaves': 220, 'feature_fraction': 0.7411495474432144, 'bagging_fraction': 0.8687647477034426, 'bagging_freq': 2, 'min_data_in_leaf': 894}",-1.8720338160127283,9.85049118290202e-05,112.60809508959451,0.7986877436172184,-1.8721323209245573,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 419, 'metric': 'auc_mu', 'lambda_l1': 4.3438731067049566e-08, 'lambda_l2': 0.18978111450291232, 'num_leaves': 65, 'feature_fraction': 0.6465119675720012, 'bagging_fraction': 0.7343791888443933, 'bagging_freq': 2, 'min_data_in_leaf': 221}",-1.8721352147365544,0.0002055199291876,89.66935920715332,0.4377744987532699,-1.8723407346657424,Hyper Parameter,0
